url,table_id,field,value
https://www.stuttcars.com/porsche-911-turbo-s-exclusive-series-991/,2,lubrication,Integrated dry-sump
https://www.stuttcars.com/porsche-911-turbo-s-exclusive-series-991/,2,cooling,Water-cooled
https://www.stuttcars.com/porsche-911-turbo-s-exclusive-series-991/,2,displacement,3.8 Litres
https://www.stuttcars.com/porsche-911-turbo-s-exclusive-series-991/,2,transmission,7-speed PDK
https://www.stuttcars.com/porsche-911-turbo-s-exclusive-series-991/,3,power,607 bhp @ 6750 rpm
https://www.stuttcars.com/porsche-911-turbo-s-exclusive-series-991/,3,power / litre,159.7 hp / litre
https://www.stuttcars.com/porsche-911-turbo-s-exclusive-series-991/,3,power-to-weight ratio,5.8 lb / hp
https://www.stuttcars.com/porsche-911-turbo-s-exclusive-series-991/,3,torque,"553 lb-ft @ 2,250-4,000 rpm"
https://www.stuttcars.com/porsche-911-turbo-s-exclusive-series-991/,3,compression ratio,9.8: 1
https://www.stuttcars.com/porsche-911-turbo-s-exclusive-series-991/,4,0-60 mph,2.8 seconds
https://www.stuttcars.com/porsche-911-turbo-s-exclusive-series-991/,4,¼ mile,10.7 seconds
https://www.stuttcars.com/porsche-911-turbo-s-exclusive-series-991/,4,max speed,205mph (330km/h)
https://www.stuttcars.com/porsche-911-turbo-cabriolet-991-2-2017-2019/,1,modification,2016 911 991.2 Turbo S 3.8 Cabriolet
https://www.stuttcars.com/porsche-911-turbo-cabriolet-991-2-2017-2019/,1,gearbox,PDK 7-speed
https://www.stuttcars.com/porsche-911-turbo-cabriolet-991-2-2017-2019/,1,kw,426
https://www.stuttcars.com/porsche-911-turbo-cabriolet-991-2-2017-2019/,1,lb-ft,551
https://www.stuttcars.com/porsche-911-turbo-cabriolet-991-2-2017-2019/,1,nm,750
https://www.stuttcars.com/porsche-911-turbo-cabriolet-991-2-2017-2019/,1,0-60 mph,2.9 sec.
https://www.stuttcars.com/porsche-911-turbo-cabriolet-991-2-2017-2019/,1,0-100 km/h,3.0 sec.
https://www.stuttcars.com/porsche-911-turbo-cabriolet-991-2-2017-2019/,1,100 mph 160 km/h,6.8 sec.
https://www.stuttcars.com/porsche-911-turbo-cabriolet-991-2-2017-2019/,1,200 km/h,10.4 sec.
https://www.stuttcars.com/porsche-911-turbo-cabriolet-991-2-2017-2019/,1,mph,205
https://www.stuttcars.com/porsche-911-turbo-cabriolet-991-2-2017-2019/,1,km/h,330
https://www.stuttcars.com/porsche-911-turbo-cabriolet-991-2-2017-2019/,1,kg,1670
https://www.stuttcars.com/porsche-911-turbo-cabriolet-991-2-2017-2019/,1,lbs,3682
https://www.stuttcars.com/porsche-911-turbo-cabriolet-991-2-2017-2019/,1,w/lbs,116
https://www.stuttcars.com/porsche-911-turbo-cabriolet-991-2-2017-2019/,1,w/kg,256
https://www.stuttcars.com/porsche-911-turbo-coupe-991-2-2017-2019/,1,modification,2017 911 991.2 Turbo S 3.8 Exclusive Series Coupé
https://www.stuttcars.com/porsche-911-turbo-coupe-991-2-2017-2019/,1,gearbox,PDK 7-speed
https://www.stuttcars.com/porsche-911-turbo-coupe-991-2-2017-2019/,1,kw,446
https://www.stuttcars.com/porsche-911-turbo-coupe-991-2-2017-2019/,1,lb-ft,551
https://www.stuttcars.com/porsche-911-turbo-coupe-991-2-2017-2019/,1,nm,750
https://www.stuttcars.com/porsche-911-turbo-coupe-991-2-2017-2019/,1,0-60 mph,2.8 sec.
https://www.stuttcars.com/porsche-911-turbo-coupe-991-2-2017-2019/,1,0-100 km/h,2.9 sec.
https://www.stuttcars.com/porsche-911-turbo-coupe-991-2-2017-2019/,1,100 mph 160 km/h,6.3 sec.
https://www.stuttcars.com/porsche-911-turbo-coupe-991-2-2017-2019/,1,200 km/h,9.6 sec.
https://www.stuttcars.com/porsche-911-turbo-coupe-991-2-2017-2019/,1,mph,205
https://www.stuttcars.com/porsche-911-turbo-coupe-991-2-2017-2019/,1,km/h,330
https://www.stuttcars.com/porsche-911-turbo-coupe-991-2-2017-2019/,1,kg,1600
https://www.stuttcars.com/porsche-911-turbo-coupe-991-2-2017-2019/,1,lbs,3527
https://www.stuttcars.com/porsche-911-turbo-coupe-991-2-2017-2019/,1,w/lbs,126
https://www.stuttcars.com/porsche-911-turbo-coupe-991-2-2017-2019/,1,w/kg,279
https://www.stuttcars.com/porsche-911-991-gt2-rs-racing-991-2-2018-2019/,1,modification,2019 911 991 GT2 RS Clubsport racing version
https://www.stuttcars.com/porsche-911-991-gt2-rs-racing-991-2-2018-2019/,1,engine,3.8T
https://www.stuttcars.com/porsche-911-991-gt2-rs-racing-991-2-2018-2019/,1,kw,515
https://www.stuttcars.com/porsche-911-991-gt2-rs-racing-991-2-2018-2019/,1,lb-ft,551
https://www.stuttcars.com/porsche-911-991-gt2-rs-racing-991-2-2018-2019/,1,nm,750
https://www.stuttcars.com/porsche-911-991-gt2-rs-racing-991-2-2018-2019/,1,gearbox,PDK 7-speed
https://www.stuttcars.com/porsche-911-991-gt2-rs-racing-991-2-2018-2019/,1,kg,1390
https://www.stuttcars.com/porsche-911-991-gt2-rs-racing-991-2-2018-2019/,1,lb,3064
https://www.stuttcars.com/porsche-911-991-gt2-rs-racing-991-2-2018-2019/,1,w/lb,168
https://www.stuttcars.com/porsche-911-991-gt2-rs-racing-991-2-2018-2019/,1,w/kg,370
https://www.stuttcars.com/porsche-911-rsr-991-2-2017-2019/,1,date,Championship
https://www.stuttcars.com/porsche-911-rsr-991-2-2017-2019/,1,2017 jan 29,IMSA Championship + NA Endur’ Cup
https://www.stuttcars.com/porsche-911-rsr-991-2-2017-2019/,1,2017 mar 18,IMSA Championship + NA Endur’ Cup
https://www.stuttcars.com/porsche-911-rsr-991-2-2017-2019/,1,2017 apr 08,IMSA Championship
https://www.stuttcars.com/porsche-911-rsr-991-2-2017-2019/,1,2017 apr 16,FIA World Endurance Championship
https://www.stuttcars.com/porsche-911-rsr-991-2-2017-2019/,1,2017 may 06,IMSA Sportscar Championship
https://www.stuttcars.com/porsche-911-rsr-991-2-2017-2019/,1,2017 may 06,FIA World Endurance Championship
https://www.stuttcars.com/porsche-911-rsr-991-2-2017-2019/,1,2017 jun 17,FIA World Endurance Championship
https://www.stuttcars.com/porsche-911-rsr-991-2-2017-2019/,1,2017 jul 02,IMSA Championship + NA Endur’ Cup
https://www.stuttcars.com/porsche-911-rsr-991-2-2017-2019/,1,2017 jul 09,IMSA Sportscar Championship
https://www.stuttcars.com/porsche-911-rsr-991-2-2017-2019/,1,2017 jul 16,FIA World Endurance Championship
https://www.stuttcars.com/porsche-911-rsr-991-2-2017-2019/,1,2017 jul 22,IMSA Sportscar Championship
https://www.stuttcars.com/porsche-911-rsr-991-2-2017-2019/,1,2017 aug 06,IMSA Sportscar Championship
https://www.stuttcars.com/porsche-911-rsr-991-2-2017-2019/,1,2017 aug 27,IMSA Sportscar Championship
https://www.stuttcars.com/porsche-911-rsr-991-2-2017-2019/,1,2017 sep 03,FIA World Endurance Championship
https://www.stuttcars.com/porsche-911-rsr-991-2-2017-2019/,1,2017 sep 16,FIA World Endurance Championship
